按性別_按經常居住地區分_及按鄉鎮市區別分_By_Sex_By_Usually_Living_County_City_By_Township_City_District_人數,總計_Grand_total_人數,同現住鄉鎮市區_Same_township_city_district_人數,同現住縣市不同鄉鎮市區_Same_county_city_人數,不同縣市或國外地區_Other_county_city_or_overseas_人數
按性別分_By_Sex,,,,
嘉義市_男_Male,18266,13452,2547,2267
嘉義市_女_Female,18219,13960,2259,2000
按鄉鎮市區別分_By_Township_City_District,,,,
嘉義市東區,17152,14976,247,1929
East District,,,,
嘉義市西區,19333,12436,4559,2338
West District,,,,
按性別分_By_Sex,,,,
嘉義縣_男_Male,35447,22885,4222,8340
嘉義縣_女_Female,32165,21582,3278,7305
按鄉鎮市區別分_By_Township_City_District,,,,
嘉義縣太保市,5669,3351,880,1438
Taibao City,,,,
嘉義縣朴子市,6263,4948,538,777
Puzi City,,,,
嘉義縣布袋鎮,1958,981,357,620
Budai Township,,,,
嘉義縣大林鎮,7289,6059,639,591
Dalin Township,,,,
嘉義縣民雄鄉,18663,15955,328,2380
Minxiong Township,,,,
嘉義縣溪口鄉,1390,510,501,379
Xikou Township,,,,
嘉義縣新港鄉,2883,1742,578,563
Xingang Township,,,,
嘉義縣六腳鄉,1711,589,600,522
Liujiao Township,,,,
嘉義縣東石鄉,1514,548,721,245
Dongshi Township,,,,
嘉義縣義竹鄉,1242,639,100,503
Yizhu Township,,,,
嘉義縣鹿草鄉,1177,655,199,323
Lucao Township,,,,
嘉義縣水上鄉,6639,2666,735,3238
Shuishang Township,,,,
嘉義縣中埔鄉,5690,2293,581,2816
Zhongpu Township,,,,
嘉義縣竹崎鄉,2584,1737,303,544
Zhuqi Township,,,,
嘉義縣梅山鄉,1394,934,227,233
Meishan Township,,,,
嘉義縣番路鄉,1141,520,186,435
Fanlu Township,,,,
嘉義縣大埔鄉,73,71,0,2
Dapu Township,,,,
嘉義縣阿里山鄉,332,269,27,36
Alishan Township,,,,
按性別分_By_Sex,,,,
屏東縣_男_Male,55480,39860,11362,4258
屏東縣_女_Female,54508,38881,12163,3464
按鄉鎮市區別分_By_Township_City_District,,,,
屏東縣屏東市,34511,29454,2570,2487
Pingtung City,,,,
屏東縣潮州鎮,7055,4439,2111,505
Chaozhou Township,,,,
屏東縣東港鎮,5530,4272,696,562
Donggang Township,,,,
屏東縣恆春鎮,3436,3142,112,182
Hengchun Township,,,,
屏東縣萬丹鄉,5662,2989,1991,682
Wandan Township,,,,
屏東縣長治鄉,3547,1214,2064,269
Changzhi Township,,,,
屏東縣麟洛鄉,1092,392,630,70
Linluo Township,,,,
屏東縣九如鄉,2420,1136,1107,177
Jiuru Township,,,,
屏東縣里港鄉,2367,1335,690,342
Ligang Township,,,,
屏東縣鹽埔鄉,3380,2545,554,281
Yanpu Township,,,,
屏東縣高樹鄉,2015,1353,494,168
Gaoshu Township,,,,
屏東縣萬巒鄉,2013,1144,743,126
Wanluan Township,,,,
屏東縣內埔鄉,14868,13377,1215,276
Neipu Township,,,,
屏東縣竹田鄉,1837,511,1169,157
Zhutian Township,,,,
屏東縣新埤鄉,941,322,541,78
Xinpi Township,,,,
屏東縣枋寮鄉,2483,1766,563,154
Fangliao Township,,,,
屏東縣新園鄉,3832,1601,1718,513
Xinyuan Township,,,,
屏東縣崁頂鄉,1460,713,667,80
Kanding Township,,,,
屏東縣林邊鄉,1397,845,477,75
Linbian Township,,,,
屏東縣南州鄉,1735,1306,328,101
Nanzhou Township,,,,
屏東縣佳冬鄉,1764,1165,514,85
Jiadong Township,,,,
屏東縣琉球鄉,712,599,75,38
Liouciou Township,,,,
屏東縣車城鄉,586,348,195,43
Checheng Township,,,,
屏東縣滿州鄉,485,346,122,17
Manzhou Township,,,,
屏東縣枋山鄉,416,157,221,38
Fangshan Township,,,,
屏東縣三地門鄉,887,386,467,34
Sandimen Township,,,,
屏東縣霧臺鄉,150,44,88,18
Wutai Township,,,,
屏東縣瑪家鄉,870,382,455,33
Majia Township,,,,
屏東縣泰武鄉,609,372,223,14
Taiwu Township,,,,
屏東縣來義鄉,742,498,199,45
Laiyi Township,,,,
屏東縣春日鄉,569,220,311,38
Chunri Township,,,,
屏東縣獅子鄉,314,140,152,22
Shizi Township,,,,
屏東縣牡丹鄉,303,228,63,12
Mudan Township,,,,
按性別分_By_Sex,,,,
澎湖縣_男_Male,5474,4582,745,147
澎湖縣_女_Female,4528,3737,595,196
按鄉鎮市區別分_By_Township_City_District,,,,
澎湖縣馬公市,7341,7039,56,246
Magong City,,,,
澎湖縣湖西鄉,1287,534,709,44
Huxi Township,,,,
澎湖縣白沙鄉,644,351,268,25
Baisha Township,,,,
澎湖縣西嶼鄉,543,237,293,13
Xiyu Township,,,,
澎湖縣望安鄉,77,60,9,8
Wang'an Township,,,,
澎湖縣七美鄉,110,98,5,7
Qimei Township,,,,
按性別分_By_Sex,,,,
臺東縣_男_Male,14568,12338,1878,352
臺東縣_女_Female,13494,11462,1488,544
按鄉鎮市區別分_By_Township_City_District,,,,
臺東縣臺東市,17677,17152,19,506
Taitung City,,,,
臺東縣成功鎮,983,904,60,19
Chenggong Township,,,,
臺東縣關山鎮,1060,908,82,70
Guanshan Township,,,,
臺東縣卑南鄉,2356,923,1369,64
Beinan Township,,,,
臺東縣鹿野鄉,831,508,277,46
Luye Township,,,,
臺東縣池上鄉,619,422,170,27
Chishang Township,,,,
臺東縣東河鄉,517,356,151,10
Donghe Township,,,,
臺東縣長濱鄉,512,379,108,25
Changbin Township,,,,
臺東縣太麻里鄉,1358,747,569,42
Taimali Township,,,,
臺東縣大武鄉,344,304,31,9
Dawu Township,,,,
臺東縣綠島鄉,168,144,14,10
Lüdao Township,,,,
臺東縣海端鄉,365,253,102,10
Haiduan Township,,,,
